"nom","dept","comm","arr","tncc","population","latitude","longitude"
"Abancourt","59","001","2","1","461","50.234169999999999","3.21333"
"Abscon","59","002","6","1","4269","50.33417","3.3022200000000002"
"Aibes","59","003","1","1","365","50.23639","4.0930600000000004"
"Aix","59","004","3","1","1119","50.490279999999998","3.2905600000000002"
"Allennes-les-Marais","59","005","5","1","3383","50.536110000000001","2.9508299999999998"
"Amfroipret","59","006","1","1","223","50.280000000000001","3.7374999999999998"
"Anhiers","59","007","3","1","980","50.406669999999998","3.15639"
"Aniche","59","008","3","1","10469","50.329999999999998","3.2511100000000002"
"Villeneuve-d'Ascq","59","009","5","0","64328","50.622779999999999","3.1441699999999999"
"Anneux","59","010","2","1","249","50.154170000000001","3.1258300000000001"
"Annœullin","59","011","5","1","9775","50.529440000000001","2.9327800000000002"
"Anor","59","012","1","1","3329","49.989600000000003","4.0994000000000002"
"Anstaing","59","013","5","1","1282","50.60528","3.1908300000000001"
"Anzin","59","014","6","1","13639","50.371389999999998","3.5044400000000002"
"Arleux","59","015","3","1","2965","50.280279999999998","3.1063900000000002"
"Armbouts-Cappel","59","016","4","1","2548","50.977780000000003","2.3533300000000001"
"Armentières","59","017","5","1","25786","50.687220000000003","2.88028"
"Arnèke","59","018","4","1","1613","50.832500000000003","2.4105599999999998"
"Artres","59","019","6","1","1045","50.293329999999997","3.5402800000000001"
"Assevent","59","021","1","1","1776","50.288060000000002","4.0149999999999997"
"Attiches","59","022","5","1","2341","50.522500000000001","3.0611100000000002"
"Aubencheul-au-Bac","59","023","2","1","477","50.25667","3.1597200000000001"
"Auberchicourt","59","024","3","1","4607","50.33278","3.2322199999999999"
"Aubers","59","025","5","1","1567","50.595280000000002","2.8250000000000002"
"Aubigny-au-Bac","59","026","3","1","1234","50.262500000000003","3.1644399999999999"
"Aubry-du-Hainaut","59","027","6","1","1489","50.3703","3.4613"
"Auby","59","028","3","1","7581","50.415280000000003","3.05444"
